"filename", "language", "JavaScript", "Markdown", "XML", "CSS", "Vue", "HTML", "comment", "blank", "total"
"f:\code\hamu-v2\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 2, 4
"f:\code\hamu-v2\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"f:\code\hamu-v2\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\code\hamu-v2\src\App.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 3, 10
"f:\code\hamu-v2\src\api\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\code\hamu-v2\src\assets\css\fonts.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 2, 25
"f:\code\hamu-v2\src\assets\vue.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\code\hamu-v2\src\components\common\HamuHeader.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 4, 44
"f:\code\hamu-v2\src\components\dashboard\DashboardBase.vue", "Vue", 0, 0, 0, 0, 9, 0, 0, 3, 12
"f:\code\hamu-v2\src\components\dashboard\DashboardSideBar.vue", "Vue", 0, 0, 0, 0, 334, 0, 29, 58, 421
"f:\code\hamu-v2\src\components\dashboard\DashboardSidebar\SidebarItem.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 5, 20
"f:\code\hamu-v2\src\components\dashboard\DashboardSidebar\SidebarList.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 5, 13
"f:\code\hamu-v2\src\main.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"f:\code\hamu-v2\src\pages\HamuHome.vue", "Vue", 0, 0, 0, 0, 208, 0, 0, 29, 237
"f:\code\hamu-v2\src\pages\HamuLogin.vue", "Vue", 0, 0, 0, 0, 278, 0, 1, 28, 307
"f:\code\hamu-v2\src\pages\HamuTest.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 3, 10
"f:\code\hamu-v2\src\pages\dashboard\DashboardHome.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 3, 10
"f:\code\hamu-v2\src\router\index.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 37
"f:\code\hamu-v2\src\store\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"f:\code\hamu-v2\src\style.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 5, 19
"f:\code\hamu-v2\src\utils\http.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"f:\code\hamu-v2\vite.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 3, 5, 37
"Total", "-", 114, 2, 2, 37, 913, 13, 33, 167, 1281
